po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,39,0,0,0,100,6778,8811.4,1.3,0.01,0,3150.3,1,9.06,182
0,0,37,0,0,0,30,667,2968.15,4.45,0.15,1,3426.68,1,6.4,17
0,0,39,1,0,0,100,2500,180000.0,72.0,0.72,0,7513.71,1,388.08,163
0,0,33,1,0,0,100,4,32.0,8.0,0.08,0,1076.15,1,0.05,166
0,0,33,1,0,0,100,378,33642.0,89.0,0.89,0,4529.86,1,55.51,94
0,0,37,0,0,0,30,938,1876.0,2.0,0.07,1,3426.68,1,3.68,-146
0,0,31,1,0,0,30,1,19.05,19.05,0.64,0,0.0,0,0.04,130
0,0,24,0,0,0,270,117,9117.81,77.93,0.29,0,939.08,1,47.04,-851
0,0,24,0,0,0,60,1890,4876.2,2.58,0.04,0,112.87,0,8.05,234
0,0,37,0,0,0,30,12100,69938.0,5.78,0.19,0,3602.34,1,137.08,70
0,0,31,1,0,0,120,4,110.05,27.51,0.23,1,0.0,0,0.11,316
0,0,9,0,0,0,30,10000,162500.0,16.25,0.54,0,3006.0,1,47.04,-759
0,0,9,0,0,0,60,104000,699920.0,6.73,0.11,0,35832.12,0,719.52,425
0,0,39,1,0,0,100,3000,240000.0,80.0,0.8,0,25760.94,1,336.48,78
0,0,31,1,0,0,30,11,240.13,21.83,0.73,1,0.0,0,0.25,154
0,0,38,1,0,0,60,24428,268463.72,10.99,0.18,0,13674.64,1,442.97,158
0,0,11,1,0,0,20,2500,80000.0,32.0,1.6,0,8101.57,1,156.8,-103
0,0,38,1,0,0,60,14952,128736.72,8.61,0.14,1,3426.68,1,252.32,259
0,0,28,1,0,0,100,5000,388500.0,77.7,0.78,0,50550.58,1,837.61,163
0,0,9,0,0,0,240,5000,10500.0,2.1,0.01,1,3426.68,0,14.72,48
0,0,37,0,0,0,60,3000,8190.0,2.73,0.05,1,3426.68,1,17.66,153
0,0,31,1,0,0,240,350,1781.5,5.09,0.02,1,0.0,1,3.49,-131
0,0,8,0,0,0,240,7003,13655.85,1.95,0.01,1,3426.68,1,16.89,299
0,0,31,1,0,0,120,57,1468.3,25.76,0.21,1,0.0,0,1.82,211
0,0,38,1,0,0,120,5188,315534.16,60.82,0.51,0,3622.58,1,442.38,149
0,0,37,0,0,0,60,372,706.8,1.9,0.03,0,951.75,1,0.87,94
0,0,40,0,0,0,60,3345,26760.0,8.0,0.13,0,29250.68,0,44.15,189
0,0,9,1,0,0,20,250,6750.0,27.0,1.35,0,1711.86,1,10.8,-585
0,0,31,1,0,0,120,3,76.78,25.59,0.21,1,0.0,0,0.08,243
0,0,8,0,0,0,30,53,322.24,6.08,0.2,0,2110.2,1,0.45,114
0,0,35,0,0,0,30,20921,122806.27,5.87,0.2,0,6010.2,0,151.91,307
0,0,40,1,0,0,300,6914,213089.48,30.82,0.1,0,41141.5,1,250.81,135
0,0,31,1,0,0,300,10,354.6,35.46,0.12,1,0.0,0,0.57,-328
